"だいがく","college; university"
"<ruby>今年<rt>ことし</rt></ruby>","this year"
"<ruby>田中さん<rt>たなかさん</rt></ruby>","Mr./Ms. Tanaka"
"<ruby>山田さん<rt>やまださん</rt></ruby>","Mr./Ms. Yamada"
"<ruby>田んぼ<rt>たんぼ</rt></ruby>","rice field"
"<ruby>女の人<rt>おんなのひと</rt></ruby>","woman (kun-yomi)"
"<ruby>女性<rt>じょせい</rt></ruby>","woman (on-yomi)"
"<ruby>女の子<rt>おんなのこ</rt></ruby>","girl"
"<ruby>長女<rt>ちょうじょ</rt></ruby>","the eldest daughter"
"<ruby>男の人<rt>おとこのひと</rt></ruby>","man (kun-yomi)"
"<ruby>男性<rt>だんせい</rt></ruby>","man (on-yomi)"
"<ruby>男の子<rt>おとこのこ</rt></ruby>","boy"
"<ruby>男子学生<rt>だんしがくせい</rt></ruby>","male student"
"<ruby>見る<rt>みる</rt></ruby>","to see"
"<ruby>見物<rt>けんぶつ</rt></ruby>","sightseeing"
"<ruby>花見<rt>はなみ</rt></ruby>","flower viewing"
"<ruby>意見<rt>いけん</rt></ruby>","opinion"
"<ruby>行く<rt>いく</rt></ruby>","to go"
"<ruby>銀行<rt>ぎんこう</rt></ruby>","bank"
"<ruby>一行目<rt>いちぎょうめ</rt></ruby>","first line"
"<ruby>旅行<rt>りょこう</rt></ruby>","travel"
"<ruby>食べる<rt>たべる</rt></ruby>","to eat"
"<ruby>食べ物<rt>たべもの</rt></ruby>","food"
"<ruby>食堂<rt>しょくどう</rt></ruby>","cafeteria"
"<ruby>食事<rt>しょくじ</rt></ruby>","meal"
"<ruby>朝食<rt>ちょうしょく</rt></ruby>","breakfast"
"<ruby>飲む<rt>のむ</rt></ruby>","to drink"
"<ruby>飲み物<rt>のみもの</rt></ruby>","drink"
"<ruby>飲酒運転<rt>いんしゅうんてん</rt></ruby>","drunken driving"
"<ruby>漢字<rt>かんじ</rt></ruby>","kanji; Chinese character"
"<ruby>教科書<rt>きょうかしょ</rt></ruby>","textbook"
"ページ","page"
"<ruby>次<rt>つぎ</rt></ruby>","next"
"<ruby>お金<rt>おかね</rt></ruby>","money"
"<ruby>荷物<rt>にもつ</rt></ruby>","baggage"
"パソコン","personal computer"
"シャワー","shower"
"エアコン","air conditioner"
"<ruby>電気<rt>でんき</rt></ruby>","electricity; light"
"<ruby>窓<rt>まど</rt></ruby>","window"
"<ruby>電車<rt>でんしゃ</rt></ruby>","train"
"<ruby>国<rt>くに</rt></ruby>","country; place of origin"
"<ruby>今週<rt>こんしゅう</rt></ruby>","this week"
"<ruby>来週<rt>らいしゅう</rt></ruby>","next week"
"<ruby>来年<rt>らいねん</rt></ruby>","next year"
"<ruby>夜<rt>よる</rt></ruby>","night"
"<ruby>大変<rt>たいへん（な）</rt></ruby>","tough (situation)"
"<ruby>遊ぶ<rt>あそぶ</rt></ruby>","to play; to spend time pleasantly"
"<ruby>急ぐ<rt>いそぐ</rt></ruby>","to hurry"
"<ruby>返す<rt>かえす</rt></ruby>","to return (a thing) <small>(<em>person</em> に <em>thing</em> を)</small>"
"<ruby>消す<rt>けす</rt></ruby>","to turn off; to erase <small>(～を)</small>"
"<ruby>死ぬ<rt>しぬ</rt></ruby>","to die"
"<ruby>座る<rt>すわる</rt></ruby>","to sit down <small>(<em>seat</em> に)</small>"
"<ruby>立つ<rt>たつ</rt></ruby>","to stand up"
"<ruby>たばこを吸う<rt>たばこをすう</rt></ruby>","to smoke"
"<ruby>使う<rt>つかう</rt></ruby>","to use <small>(～を)</small>"
"<ruby>手伝う<rt>てつだう</rt></ruby>","to help <small>(<em>person/task</em> を)</small>"
"<ruby>入る<rt>はいる</rt></ruby>","to enter <small>(～に)</small>"
"<ruby>持つ<rt>もつ</rt></ruby>","to carry; to hold <small>(～を)</small>"
"<ruby>休む<rt>やすむ</rt></ruby>","(1) to be absent (from...) <small>(～を)</small>; (2) to rest"
"<ruby>開ける<rt>あける</rt></ruby>","to open (something) <small>(～を)</small>"
"<ruby>閉める<rt>しめる</rt></ruby>","to close (something) <small>(～を)</small>"
"<ruby>教える<rt>おしえる</rt></ruby>","to teach; to instruct <small>(<em>person</em> に <em>thing</em> を)</small>"
"<ruby>忘れる<rt>わすれる</rt></ruby>","to forget; to leave behind <small>(～を)</small>"
"<ruby>降りる<rt>おりる</rt></ruby>","to get off <small>(～を)</small>"
"<ruby>借りる<rt>かりる</rt></ruby>","to borrow <small>(<em>person</em> に <em>thing</em> を)</small>"
"<ruby>シャワーを浴びる<rt>シャワーをあびる</rt></ruby>","to take a shower"
"つける","to turn on <small>(～を)</small>"
"<ruby>電話する<rt>でんわする</rt></ruby>","to call <small>(～に)</small>"
"<ruby>連れてくる<rt>つれてくる</rt></ruby>","to bring (a person) <small>(～を)</small>"
"<ruby>持ってくる<rt>もってくる</rt></ruby>","to bring (a thing) <small>(～を)</small>"
"<ruby>東<rt>ひがし</rt></ruby>","east"
"<ruby>東口<rt>ひがしぐち</rt></ruby>","east exit"
"<ruby>東京<rt>とうきょう</rt></ruby>","Tokyo"
"<ruby>関東<rt>かんとう</rt></ruby>","Kanto area"
"<ruby>東洋<rt>とうよう</rt></ruby>","the East"
"<ruby>西<rt>にし</rt></ruby>","west"
"<ruby>西口<rt>にしぐち</rt></ruby>","west exit"
"<ruby>北西<rt>ほくせい</rt></ruby>","northwest"
"<ruby>関西<rt>かんさい</rt></ruby>","Kansai area"
"<ruby>西洋<rt>せいよう</rt></ruby>","the West"
"<ruby>南<rt>みなみ</rt></ruby>","south"
"<ruby>南口<rt>みなみぐち</rt></ruby>","south exit"
"<ruby>南東<rt>なんとう</rt></ruby>","southeast"
"<ruby>南極<rt>なんきょく</rt></ruby>","Antarctica"
"<ruby>東南アジア<rt>とうなんアジア</rt></ruby>","Southeast Asia"
"<ruby>後で<rt>あとで</rt></ruby>","later on"
"すぐ","right away"
"ゆっくり","slowly; leisurely; unhurriedly"
"<ruby>結構です<rt>けっこうです</rt></ruby>","That would be fine.; That wouldn't be necessary."
"<ruby>本当ですか<rt>ほんとうですか</rt></ruby>","Really?"
"<ruby>北<rt>きた</rt></ruby>","north"
"<ruby>北口<rt>きたぐち</rt></ruby>","north exit"
"<ruby>東北<rt>とうほく</rt></ruby>","Tohoku area"
"<ruby>北極<rt>ほっきょく</rt></ruby>","North Pole"
"<ruby>北海道<rt>ほっかいどう</rt></ruby>","Hokkaido"
"<ruby>口<rt>くち</rt></ruby>","mouth"
"<ruby>人口<rt>じんこう</rt></ruby>","population"
"<ruby>入り口／入口<rt>いりぐち</rt></ruby>","entrance"
"<ruby>出る<rt>でる</rt></ruby>","to exit"
"<ruby>出口<rt>でぐち</rt></ruby>","exit"
"<ruby>出かける<rt>でかける</rt></ruby>","to go out"
"<ruby>出す<rt>だす</rt></ruby>","to take something out"
"<ruby>出席<rt>しゅっせき</rt></ruby>","attendance"
"<ruby>輸出<rt>ゆしゅつ</rt></ruby>","export"
"<ruby>道を聞く<rt>みちをきく</rt></ruby>","to ask for directions; to ask the way"
"<ruby>まっすぐ行く<rt>まっすぐいく</rt></ruby>","go straight"
"<ruby>左に曲がる<rt>ひだりにまがる</rt></ruby>","turn left"
"<ruby>右に曲がる<rt>みぎにまがる</rt></ruby>","turn right"
"<ruby>道を渡る<rt>みちをわたる</rt></ruby>","cross the street"
"<ruby>二つ目の角を左に曲がる<rt>ふたつめのかどをひだりにまがる</rt></ruby>","turn left at the second corner"
"<ruby>一つ目の信号を右に曲がる<rt>ひとつめのしんごうをみぎにまがる</rt></ruby>","turn right at the first traffic light"
"<ruby>道の左側<rt>みちのひだりがわ</rt></ruby>","left side of the street"
"<ruby>道の右側<rt>みちのみぎがわ</rt></ruby>","right side of the street"
"<ruby>北<rt>きた</rt></ruby>","north"
"<ruby>東<rt>ひがし</rt></ruby>","east"
"<ruby>南<rt>みなみ</rt></ruby>","south"
"<ruby>西<rt>にし</rt></ruby>","west"
"<ruby>右<rt>みぎ</rt></ruby>","right"
"<ruby>右折<rt>うせつ</rt></ruby>","right turn"
"<ruby>左右<rt>さゆう</rt></ruby>","right and left"
"<ruby>右手<rt>みぎて</rt></ruby>","right hand"
"<ruby>右側<rt>みぎがわ</rt></ruby>","right side"
"<ruby>左<rt>ひだり</rt></ruby>","left"
"<ruby>左折<rt>させつ</rt></ruby>","left turn"
"<ruby>左手<rt>ひだりて</rt></ruby>","left hand"
"<ruby>左利き<rt>ひだりきき</rt></ruby>","left-handed"
"<ruby>五分<rt>ごふん</rt></ruby>","five minutes"
"<ruby>十分<rt>じゅっぷん／じっぷん</rt></ruby>","ten minutes"
"<ruby>自分<rt>じぶん</rt></ruby>","oneself"
"<ruby>分ける<rt>わける</rt></ruby>","to divide"
"<ruby>先生<rt>せんせい</rt></ruby>","teacher"
"<ruby>先週<rt>せんしゅう</rt></ruby>","last week"
"<ruby>先に<rt>さきに</rt></ruby>","ahead"
"<ruby>先月<rt>せんげつ</rt></ruby>","last month"
"<ruby>先輩<rt>せんぱい</rt></ruby>","senior member"
"<ruby>学生<rt>がくせい</rt></ruby>","student"
"<ruby>生まれる<rt>うまれる</rt></ruby>","to be born"
"<ruby>一生に一度<rt>いっしょうにいちど</rt></ruby>","once in a life time"
"<ruby>大学生<rt>だいがくせい</rt></ruby>","college student"
"<ruby>大きい<rt>おおきい</rt></ruby>","big"
"<ruby>大変な<rt>たいへんな</rt></ruby>","tough"
"<ruby>大人<rt>おとな</rt></ruby>","adult"
"<ruby>大使館<rt>たいしかん</rt></ruby>","embassy"
"<ruby>大学<rt>だいがく</rt></ruby>","university"
"<ruby>学生<rt>がくせい</rt></ruby>","student"
"<ruby>学校<rt>がっこう</rt></ruby>","school"
"<ruby>学ぶ<rt>まなぶ</rt></ruby>","to study"
"<ruby>学部<rt>がくぶ</rt></ruby>","department; faculty"
"<ruby>外国<rt>がいこく</rt></ruby>","foreign country"
"<ruby>外国人<rt>がいこくじん</rt></ruby>","foreigner"
"<ruby>外<rt>そと</rt></ruby>","outside"
"<ruby>海外<rt>かいがい</rt></ruby>","overseas"
"<ruby>中国<rt>ちゅうごく</rt></ruby>","China"
"<ruby>国<rt>くに</rt></ruby>","country"
"<ruby>韓国<rt>かんこく</rt></ruby>","South Korea"
"<ruby>国会<rt>こっかい</rt></ruby>","the Diet"
"<ruby>家族<rt>かぞく</rt></ruby>","family"
"おじいさん","grandfather; old man"
"おばあさん","grandmother; old woman"
"<ruby>お兄さん<rt>おにいさん</rt></ruby>","older brother"
"<ruby>お姉さん<rt>おねえさん</rt></ruby>","older sister"
"<ruby>父<rt>ちち</rt></ruby>","(my) father"
"<ruby>母<rt>はは</rt></ruby>","(my) mother"
"<ruby>兄<rt>あに</rt></ruby>","(my) older brother"
"<ruby>姉<rt>あね</rt></ruby>","(my) older sister"
"<ruby>弟<rt>おとうと</rt></ruby>","younger brother"
"<ruby>妹<rt>いもうと</rt></ruby>","younger sister"
"<ruby>兄弟<rt>きょうだい</rt></ruby>","brothers and sisters; siblings"
"<ruby>男の人<rt>おとこのひと</rt></ruby>","man"
"<ruby>女の人<rt>おんなのひと</rt></ruby>","woman"
"<ruby>会社<rt>かいしゃ</rt></ruby>","company"
"<ruby>食堂<rt>しょくどう</rt></ruby>","cafeteria; dining commons"
"デパート","department store"
"<ruby>髪<rt>かみ</rt></ruby>","hair"
"<ruby>口<rt>くち</rt></ruby>","mouth"
"<ruby>目<rt>め</rt></ruby>","eye"
"<ruby>眼鏡<rt>めがね</rt></ruby>","glasses"
"<ruby>歌<rt>うた</rt></ruby>","song"
"サークル","club activity"
"<ruby>車<rt>くるま</rt></ruby>","car"
"<ruby>長い<rt>ながい</rt></ruby>","long"
"<ruby>短い<rt>みじかい</rt></ruby>","short (length)"
"<ruby>速い<rt>はやい</rt></ruby>","fast"
"<ruby>背が高い<rt>せがたかい</rt></ruby>","tall (stature)"
"<ruby>背が低い<rt>せがひくい</rt></ruby>","short (stature)"
"<ruby>頭がいい<rt>あたまがいい</rt></ruby>","bright; smart; clever"
"かわいい","cute"
"<ruby>親切<rt>しんせつ(な)</rt></ruby>","kind"
"<ruby>便利<rt>べんり(な)</rt></ruby>","convenient"
"<ruby>歌う<rt>うたう</rt></ruby>","to sing <small>(～を)</small>"
"かぶる","to put on (a hat) <small>(～を)</small>"
"はく","to put on (items below your waist) <small>(～を)</small>"
"<ruby>知る<rt>しる</rt></ruby>","to get to know <small>(～を)</small>"
"<ruby>知っています<rt>しっています</rt></ruby>","I know"
"<ruby>知りません<rt>しりません</rt></ruby>","I do not know"
"<ruby>住む<rt>すむ</rt></ruby>","to live <small>(～に)</small>"
"<ruby>働く<rt>はたらく</rt></ruby>","to work"
"<ruby>太る<rt>ふとる</rt></ruby>","to gain weight"
"<ruby>太っています<rt>ふとっています</rt></ruby>","to be on the heavy side"
"(めがねを)かける","to put on (glasses)"
"<ruby>着る<rt>きる</rt></ruby>","to put on (clothes above your waist) <small>(～を)</small>"
"やせる","to lose weight"
"やせています","to be thin"
"<ruby>結婚する<rt>けっこんする</rt></ruby>","to get married <small>(～と)</small>"
"<ruby>東京<rt>とうきょう</rt></ruby>","Tokyo"
"<ruby>京子<rt>きょうこ</rt></ruby>","Kyoko"
"<ruby>京都<rt>きょうと</rt></ruby>","Kyoto"
"<ruby>上京する<rt>じょうきょうする</rt></ruby>","to go to the capital"
"<ruby>子供<rt>こども</rt></ruby>","child"
"<ruby>女の子<rt>おんなのこ</rt></ruby>","girl"
"<ruby>男の子<rt>おとこのこ</rt></ruby>","boy"
"<ruby>女子学生<rt>じょしがくせい</rt></ruby>","female student"
"<ruby>小さい<rt>ちいさい</rt></ruby>","small"
"<ruby>小学校<rt>しょうがっこう</rt></ruby>","elementary school"
"<ruby>小学生<rt>しょうがくせい</rt></ruby>","elementary school student"
"～が","..., but"
"<ruby>何も<rt>なにも</rt></ruby>","not...anything"
"<ruby>～人<rt>～にん</rt></ruby>","[counter for people]"
"<ruby>一人<rt>ひとり</rt></ruby>","one person"
"<ruby>二人<rt>ふたり</rt></ruby>","two people"
"<ruby>別に<rt>べつに</rt></ruby>","nothing in particular"
"もちろん","of course"
"よかったら","if you like"
"<ruby>会う<rt>あう</rt></ruby>","to meet"
"<ruby>会社<rt>かいしゃ</rt></ruby>","company"
"<ruby>会社員<rt>かいしゃいん</rt></ruby>","office worker"
"<ruby>会議<rt>かいぎ</rt></ruby>","meeting"
"<ruby>教会<rt>きょうかい</rt></ruby>","church"
"<ruby>神社<rt>じんじゃ</rt></ruby>","shrine"
"<ruby>社会<rt>しゃかい</rt></ruby>","society"
"<ruby>入社<rt>にゅうしゃ</rt></ruby>","entry to a company"
"<ruby>父<rt>ちち</rt></ruby>","(my) father"
"<ruby>お父さん<rt>おとうさん</rt></ruby>","father"
"<ruby>父母<rt>ふぼ</rt></ruby>","father and mother"
"<ruby>祖父<rt>そふ</rt></ruby>","grandfather"
"<ruby>何人<rt>なんにん</rt></ruby>","how many people"
"<ruby>一人<rt>ひとり</rt></ruby>","one person"
"<ruby>二人<rt>ふたり</rt></ruby>","two people"
"<ruby>三人<rt>さんにん</rt></ruby>","three people"
"<ruby>四人<rt>よにん</rt></ruby>","four people"
"<ruby>五人<rt>ごにん</rt></ruby>","five people"
"<ruby>六人<rt>ろくにん</rt></ruby>","six people"
"<ruby>七人<rt>しちにん／ななにん</rt></ruby>","seven people"
"<ruby>八人<rt>はちにん</rt></ruby>","eight people"
"<ruby>九人<rt>きゅうにん</rt></ruby>","nine people"
"<ruby>十人<rt>じゅうにん</rt></ruby>","ten people"
"<ruby>母<rt>はは</rt></ruby>","(my) mother"
"<ruby>お母さん<rt>おかあさん</rt></ruby>","mother"
"<ruby>母語<rt>ぼご</rt></ruby>","mother tongue"
"<ruby>祖母<rt>そぼ</rt></ruby>","grandmother"
"<ruby>高い<rt>たかい</rt></ruby>","expensive; high"
"<ruby>高校<rt>こうこう</rt></ruby>","high school"
"<ruby>高校生<rt>こうこうせい</rt></ruby>","high school student"
"<ruby>最高<rt>さいこう</rt></ruby>","the best"
"<ruby>学校<rt>がっこう</rt></ruby>","school"
"<ruby>中学校<rt>ちゅうがっこう</rt></ruby>","junior high school"
"<ruby>髪<rt>かみ</rt></ruby>","hair"
"<ruby>眉毛<rt>まゆげ</rt></ruby>","eyebrows"
"<ruby>耳<rt>みみ</rt></ruby>","ear"
"<ruby>口<rt>くち</rt></ruby>","mouth"
"<ruby>手<rt>て</rt></ruby>","hand"
"<ruby>首<rt>くび</rt></ruby>","neck"
"<ruby>歯<rt>は</rt></ruby>","tooth"
"<ruby>指<rt>ゆび</rt></ruby>","finger"
"<ruby>鼻<rt>はな</rt></ruby>","nose"
"<ruby>目<rt>め</rt></ruby>","eye"
"<ruby>顔<rt>かお</rt></ruby>","face"
"<ruby>頭<rt>あたま</rt></ruby>","head"
"<ruby>肩<rt>かた</rt></ruby>","shoulder"
"<ruby>胸<rt>むね</rt></ruby>","chest"
"<ruby>背中<rt>せなか</rt></ruby>","back (of body)"
"おなか","belly; stomach"
"おしり","bottom; buttocks"
"<ruby>足<rt>あし</rt></ruby>","foot"
"<ruby>毎日<rt>まいにち</rt></ruby>","every day"
"<ruby>毎週<rt>まいしゅう</rt></ruby>","every week"
"<ruby>毎晩<rt>まいばん</rt></ruby>","every night"
"<ruby>毎年<rt>まいねん／まいとし</rt></ruby>","every year"
"<ruby>日本語<rt>にほんご</rt></ruby>","Japanese language"
"<ruby>英語<rt>えいご</rt></ruby>","English language"
"<ruby>敬語<rt>けいご</rt></ruby>","honorific expressions"
"<ruby>文学<rt>ぶんがく</rt></ruby>","literature"
"<ruby>作文<rt>さくぶん</rt></ruby>","composition"
"<ruby>文字<rt>もじ</rt></ruby>","letter; character"
"<ruby>文化<rt>ぶんか</rt></ruby>","culture"
"<ruby>文法<rt>ぶんぽう</rt></ruby>","grammar"
"<ruby>帰る<rt>かえる</rt></ruby>","to return"
"<ruby>帰国<rt>きこく</rt></ruby>","returning to one's country"
"<ruby>帰宅<rt>きたく</rt></ruby>","returning home"
"<ruby>帰り<rt>かえり</rt></ruby>","return"
"<ruby>入る<rt>はいる</rt></ruby>","to enter"
"<ruby>入口<rt>いりぐち</rt></ruby>","entrance"
"<ruby>入れる<rt>いれる</rt></ruby>","to put something in"
"<ruby>輸入<rt>ゆにゅう</rt></ruby>","import"
"<ruby>晴れ<rt>はれ</rt></ruby>","sunny weather"
"<ruby>雨<rt>あめ</rt></ruby>","rain"
"<ruby>曇り<rt>くもり</rt></ruby>","cloudy weather"
"<ruby>雪<rt>ゆき</rt></ruby>","snow"
"<ruby>天気予報<rt>てんきよほう</rt></ruby>","weather forecast"
"<ruby>気温<rt>きおん</rt></ruby>","temperature (weather)"
"<ruby>夏<rt>なつ</rt></ruby>","summer"
"<ruby>冬<rt>ふゆ</rt></ruby>","winter"
"<ruby>今朝<rt>けさ</rt></ruby>","this morning"
"あさって","the day after tomorrow"
"<ruby>毎週<rt>まいしゅう</rt></ruby>","every week"
"<ruby>今月<rt>こんげつ</rt></ruby>","this month"
"<ruby>来月<rt>らいげつ</rt></ruby>","next month"
"<ruby>会社員<rt>かいしゃいん</rt></ruby>","office worker"
"<ruby>仕事<rt>しごと</rt></ruby>","job; work; occupation"
"カメラ","camera"
"カラオケ","karaoke"
"<ruby>所<rt>ところ</rt></ruby>","place"
"トマト","tomato"
"はし","chopsticks"
"パーティー","party"
"バーベキュー","barbecue"
"ホームステイ","homestay; living with a local family"
"<ruby>お風呂<rt>おふろ</rt></ruby>","bath"
"スペイン","Spain"
"<ruby>何か<rt>なにか</rt></ruby>","something"
"<ruby>上手<rt>じょうず(な)</rt></ruby>","skillful; good at <small>(～が)</small>"
"<ruby>下手<rt>へた(な)</rt></ruby>","clumsy; poor at <small>(～が)</small>"
"<ruby>有名<rt>ゆうめい(な)</rt></ruby>","famous"
"<ruby>洗う<rt>あらう</rt></ruby>","to wash <small>(～を)</small>"
"<ruby>言う<rt>いう</rt></ruby>","to say"
"いる","to need <small>(～が)</small>"
"<ruby>遅くなる<rt>おそくなる</rt></ruby>","to be late"
"<ruby>お風呂に入る<rt>おふろにはいる</rt></ruby>","to take a bath"
"<ruby>思う<rt>おもう</rt></ruby>","to think"
"<ruby>切る<rt>きる</rt></ruby>","to cut <small>(～を)</small>"
"<ruby>作る<rt>つくる</rt></ruby>","to make <small>(～を)</small>"
"<ruby>雨が降る<rt>あめがふる</rt></ruby>","rain falls"
"<ruby>雪が降る<rt>ゆきがふる</rt></ruby>","snow falls"
"<ruby>持っていく<rt>もっていく</rt></ruby>","to take (a thing) <small>(～を)</small>"
"<ruby>捨てる<rt>すてる</rt></ruby>","to throw away <small>(～を)</small>"
"<ruby>始める<rt>はじめる</rt></ruby>","to begin <small>(～を)</small>"
"<ruby>運転する<rt>うんてんする</rt></ruby>","to drive <small>(～を)</small>"
"<ruby>洗濯する<rt>せんたくする</rt></ruby>","to do laundry <small>(～を)</small>"
"<ruby>掃除する<rt>そうじする</rt></ruby>","to clean <small>(～を)</small>"
"<ruby>料理する<rt>りょうりする</rt></ruby>","to cook"
"<ruby>会社員<rt>かいしゃいん</rt></ruby>","office worker"
"<ruby>店員<rt>てんいん</rt></ruby>","store clerk"
"<ruby>会員<rt>かいいん</rt></ruby>","member"
"<ruby>駅員<rt>えきいん</rt></ruby>","station attendant"
"<ruby>新しい<rt>あたらしい</rt></ruby>","new"
"<ruby>新聞<rt>しんぶん</rt></ruby>","newspaper"
"<ruby>新幹線<rt>しんかんせん</rt></ruby>","Bullet Train"
"<ruby>新鮮な<rt>しんせんな</rt></ruby>","fresh"
"<ruby>聞く<rt>きく</rt></ruby>","to listen"
"<ruby>聞こえる<rt>きこえる</rt></ruby>","can be heard"
"うん","uh-huh; yes"
"ううん","uh-uh; no"
"いつも","always"
"<ruby>遅く<rt>おそく</rt></ruby>","(do something) late"
"<ruby>乾杯<rt>かんぱい</rt></ruby>","Cheers! (a toast)"
"みんなで","all (of the people) together"
"<ruby>残念(ですね)<rt>ざんねん(ですね)</rt></ruby>","That's too bad."
"まだ","not...yet (w/negative)"
"～について","about...; concerning..."
"<ruby>～度<rt>～ど</rt></ruby>","...degrees (temperature)"
"どう","how"
"<ruby>作る<rt>つくる</rt></ruby>","to make"
"<ruby>作文<rt>さくぶん</rt></ruby>","composition"
"<ruby>作品<rt>さくひん</rt></ruby>","artistic piece"
"<ruby>作者<rt>さくしゃ</rt></ruby>","author"
"<ruby>仕事<rt>しごと</rt></ruby>","job"
"<ruby>仕返し<rt>しかえし</rt></ruby>","revenge"
"<ruby>仕える<rt>つかえる</rt></ruby>","to serve; to work under"
"<ruby>事<rt>こと</rt></ruby>","thing"
"<ruby>火事<rt>かじ</rt></ruby>","fire (disaster)"
"<ruby>食事<rt>しょくじ</rt></ruby>","meal"
"<ruby>返事<rt>へんじ</rt></ruby>","reply"
"<ruby>ご飯<rt>ごはん</rt></ruby>","rice"
"おかず","side dish"
"<ruby>みそ汁<rt>みそしる</rt></ruby>","miso soup"
"<ruby>定食<rt>ていしょく</rt></ruby>","set meal"
"カレーライス","curry with rice"
"おにぎり","rice balls"
"ラーメン","ramen noodles"
"うどん","udon noodles"
"パスタ","pasta"
"ぎょうざ","dumplings"
"<ruby>牛丼<rt>ぎゅうどん</rt></ruby>","beef rice bowl"
"ハンバーグ","hamburger steak"
"さしみ","raw seafood"
"<ruby>お好み焼き<rt>おこのみやき</rt></ruby>","savory pancake"
"トースト","toast"
"スープ","soup"
"ヨーグルト","yogurt"
"<ruby>焼き魚<rt>やきざかな</rt></ruby>","broiled fish"
"たまご","egg"
"<ruby>電車<rt>でんしゃ</rt></ruby>","train"
"<ruby>電気<rt>でんき</rt></ruby>","electricity; light"
"<ruby>電話<rt>でんわ</rt></ruby>","telephone"
"<ruby>電池<rt>でんち</rt></ruby>","battery"
"<ruby>電子レンジ<rt>でんしレンジ</rt></ruby>","microwave oven"
"<ruby>車<rt>くるま</rt></ruby>","car"
"<ruby>自転車<rt>じてんしゃ</rt></ruby>","bicycle"
"<ruby>車いす<rt>くるまいす</rt></ruby>","wheelchair"
"<ruby>駐車場<rt>ちゅうしゃじょう</rt></ruby>","parking lot"
"アボカドはありますか。","Do you have avocado?"
"<ruby>この中にお酒が入っていますか。<rt>このなかにおさけがはいっていますか。</rt></ruby>","Is there alcohol in this?"
"これはハラルフードですか。","Is this halal?"
"ピーナッツアレルギーがあります。","I have an allergy to peanuts."
"<ruby>袋をお願いします。<rt>ふくろをおねがいします。</rt></ruby>","Can I have a bag?"
"<ruby>休む<rt>やすむ</rt></ruby>","to be absent; to rest"
"<ruby>休み<rt>やすみ</rt></ruby>","holiday; absence"
"<ruby>休日<rt>きゅうじつ</rt></ruby>","holiday"
"<ruby>言う<rt>いう</rt></ruby>","to say"
"<ruby>言語学<rt>げんごがく</rt></ruby>","linguistics"
"<ruby>方言<rt>ほうげん</rt></ruby>","dialect"
"<ruby>言葉<rt>ことば</rt></ruby>","word; language"
"<ruby>読む<rt>よむ</rt></ruby>","to read"
"<ruby>読書<rt>どくしょ</rt></ruby>","reading (books)"
"<ruby>読み物<rt>よみもの</rt></ruby>","reading matter; reading material"
"<ruby>果物<rt>くだもの</rt></ruby>","fruit"
"いちご","strawberry"
"すいか","watermelon"
"みかん","mandarin orange"
"りんご","apple"
"もも","peach"
"ぶどう","grapes"
"<ruby>野菜<rt>やさい</rt></ruby>","vegetable"
"にんじん","carrot"
"たまねぎ","onion"
"じゃがいも","potato"
"なす","eggplant"
"きゅうり","cucumber"
"キャベツ","cabbage"
"<ruby>肉<rt>にく</rt></ruby>","meat"
"<ruby>牛肉<rt>ぎゅうにく</rt></ruby>","beef"
"<ruby>豚肉<rt>ぶたにく</rt></ruby>","pork"
"<ruby>鶏肉<rt>とりにく</rt></ruby>","chicken"
"<ruby>思う<rt>おもう</rt></ruby>","to think"
"<ruby>不思議な<rt>ふしぎな</rt></ruby>","mysterious"
"<ruby>思い出す<rt>おもいだす</rt></ruby>","to recall; to remember"
"<ruby>次<rt>つぎ</rt></ruby>","next"
"<ruby>次女<rt>じじょ</rt></ruby>","second daughter"
"<ruby>目次<rt>もくじ</rt></ruby>","table of contents"
"<ruby>次回<rt>じかい</rt></ruby>","next time"
"<ruby>何<rt>なに</rt></ruby>","what"
"<ruby>何時<rt>なんじ</rt></ruby>","what time"
"<ruby>何人<rt>なんにん</rt></ruby>","how many people"
"<ruby>何か<rt>なにか</rt></ruby>","something"
"<ruby>単語<rt>たんご</rt></ruby>","word; vocabulary"
"<ruby>作文<rt>さくぶん</rt></ruby>","essay; composition"
"<ruby>試験<rt>しけん</rt></ruby>","exam"
"<ruby>手紙<rt>てがみ</rt></ruby>","letter"
"メール","e-mail"
"ギター","guitar"
"ピアノ","piano"
"コンサート","concert"
"チケット","ticket"
"<ruby>歌舞伎<rt>かぶき</rt></ruby>","Kabuki; traditional Japanese theatrical art"
"スキー","ski"
"<ruby>お弁当<rt>おべんとう</rt></ruby>","boxed lunch"
"ピザ","pizza"
"<ruby>病気<rt>びょうき</rt></ruby>","illness; sickness"
"<ruby>薬<rt>くすり</rt></ruby>","medicine"
"<ruby>いい子<rt>いいこ</rt></ruby>","good child"
"<ruby>色<rt>いろ</rt></ruby>","color"
"<ruby>今度<rt>こんど</rt></ruby>","near future"
"<ruby>先月<rt>せんげつ</rt></ruby>","last month"
"<ruby>去年<rt>きょねん</rt></ruby>","last year"
"<ruby>青い<rt>あおい</rt></ruby>","blue"
"<ruby>赤い<rt>あかい</rt></ruby>","red"
"<ruby>黒い<rt>くろい</rt></ruby>","black"
"<ruby>白い<rt>しろい</rt></ruby>","white"
"<ruby>寂しい<rt>さびしい</rt></ruby>","lonely"
"<ruby>若い<rt>わかい</rt></ruby>","young"
